Name,us_news_schoolType,us_news_aliasNames,state,us_news_city,us_news_region,us_news_institutionalControl,us_news_displayRank,us_news_sortRank,us_news_isTied,us_news_actAvg,us_news_percentReceivingAid,us_news_acceptanceRate,us_news_tuition,us_news_hsGpaAvg,us_news_enrollment,us_news_satAvg,us_news_costAfterAid,us_news_Setting
Haverford College,national-liberal-arts-colleges,,PA,Haverford,,private,#21,21,True,33.0,42.0,14.0,68020.0,,1421,1430.0,23753.0,Suburban
Hebrew Theological College,national-liberal-arts-colleges,,IL,Skokie,,private,#186-204,-1,False,,,80.0,14200.0,,170,,,
Hellenic College,national-liberal-arts-colleges,,MA,Brookline,,private,Unranked,-2,False,,,76.0,22490.0,,39,,,
Hendrix College,national-liberal-arts-colleges,,AR,Conway,,private,#112,112,True,23.0,,60.0,36650.0,3.9,1130,1130.0,,Suburban
Hillsdale College,national-liberal-arts-colleges,,MI,Hillsdale,,private,#39,39,True,30.0,30.0,21.0,32092.0,3.9,1573,1360.0,35054.0,Rural
Hobart and William Smith Colleges,national-liberal-arts-colleges,HWS,NY,Geneva,,private,#70,70,True,27.0,62.0,68.0,63268.0,3.6,1559,1210.0,34987.0,City
Hollins University,national-liberal-arts-colleges,,VA,Roanoke,,private,#124,124,True,,,72.0,41210.0,3.7,691,1113.0,,
Holy Cross College at Notre Dame, Indiana,national-liberal-arts-colleges,,IN,Notre Dame,,private,#186-204,-1,False,,,76.0,35500.0,3.8,494,1110.0,,Suburban
Hope College,national-liberal-arts-colleges,,MI,Holland,,private,#100,100,True,24.0,40.0,80.0,37221.0,3.8,3251,1090.0,25965.0,City
Houghton University,national-liberal-arts-colleges,,NY,Houghton,,private,#146,146,True,20.0,,93.0,17290.0,,813,1080.0,,Rural
Illinois College,national-liberal-arts-colleges,,IL,Jacksonville,,private,#124,124,True,21.0,,77.0,37470.0,3.6,1028,960.0,,
Johnson C. Smith University,national-liberal-arts-colleges,Johnson C Smith University,NC,Charlotte,,private,#172,172,True,,,9.0,21714.0,,1052,,,
Juniata College,national-liberal-arts-colleges,,PA,Huntingdon,,private,#82,82,True,26.0,71.0,76.0,56402.0,3.6,1177,1120.0,32249.0,Rural
Kalamazoo College,national-liberal-arts-colleges,,MI,Kalamazoo,,private,#70,70,True,26.0,,80.0,56562.0,3.8,1210,1200.0,,City
Kenyon College,national-liberal-arts-colleges,,OH,Gambier,,private,#39,39,True,31.0,44.0,34.0,69330.0,3.9,1885,1370.0,32355.0,
The King's College,national-liberal-arts-colleges,Kings College,NY,New York,,private,#167,167,True,24.0,,44.0,21690.0,,384,1140.0,,
Knox College,national-liberal-arts-colleges,,IL,Galesburg,,private,#75,75,True,27.0,71.0,73.0,55587.0,,1060,1163.0,25158.0,City
Lafayette College,national-liberal-arts-colleges,,PA,Easton,,private,#30,30,True,30.0,31.0,34.0,61824.0,3.6,2729,1330.0,30629.0,Suburban
Lake Forest College,national-liberal-arts-colleges,,IL,Lake Forest,,private,#73,73,True,26.0,80.0,60.0,54202.0,3.8,1727,1155.0,23625.0,Suburban
